Scene Number,Title,Location,Int/Ext,Day/Night,Page Count,Cast,Jurisdiction,Notes
1,Ortiz Arrives at Dig Site,Thermopylae Excavation,EXT,DAY,1.5,"Dr. Nina Ortiz, Field Crew",Georgia,Establishing shot - drone coverage required
2,The First Echo,Battlefield Trench,EXT,DUSK,2.0,"Dr. Nina Ortiz",Georgia,VFX heavy - temporal transition effect
3,Spartan Camp,Hot Gates Pass,EXT,DAY,3.25,"Dr. Nina Ortiz, Leonidas, Spartan Soldiers",Georgia,Large background cast - 40 extras
4,Strategy Discussion,Command Tent,INT,NIGHT,2.5,"Dr. Nina Ortiz, Leonidas",Georgia,Dialogue heavy
5,Return to Present,Excavation Site,EXT,DAWN,1.0,"Dr. Nina Ortiz, Field Crew",Georgia,Bookend to scene 1
6,Lab Analysis,University Lab,INT,DAY,2.0,"Dr. Nina Ortiz, Dr. Chen",California,Studio interior
7,Second Leap Preparation,Lab Corridor,INT,DAY,0.5,"Dr. Nina Ortiz",California,Walk and talk
8,Pearl Harbor Deck,USS Arizona,EXT,DAY,4.0,"Dr. Nina Ortiz, Sailors",Hawaii,Period accurate uniforms - 60 extras
9,Below Decks,Engine Room,INT,DAY,1.75,"Dr. Nina Ortiz, Chief Engineer",Hawaii,Practical smoke effects
10,The Warning,Bridge,INT,DAY,2.0,"Dr. Nina Ortiz, Captain",Hawaii,Tense dialogue scene
