Scene Number,Scene Title,Location,Int/Ext,Day/Night,Page Count,Cast,Jurisdiction,Notes
1,HARBOUR AT DAWN - BODY DISCOVERED,Harbour Docks,EXT,DAWN,2,MARSH|ROOKIE,Georgia,Opening scene - crane shot
2,PRECINCT BRIEFING,Police Precinct,INT,DAY,1.5,MARSH|ROOKIE|CAPTAIN HOLT|DISPATCH,Georgia,Exposition scene
3,HARBOUR MASTER INTERVIEW,Harbour Master Office,EXT,DAY,1,MARSH|HARBOUR MASTER,Georgia,Interview scene
4,BATHROOM INSERT - PHONE RING,Harbour Docks Bathroom,INT,NIGHT,0.125,,,Georgia,Insert shot
5,INTERROGATION,Police Precinct Interrogation,INT,NIGHT,2.5,MARSH|ROOKIE,Georgia,Key dramatic scene
6,DOCKSIDE BEAT,Harbour Docks,EXT,DUSK,0.75,MARSH,Georgia,Transition scene
7,NINA ARRIVES AT THE BATTLEFIELD,Ancient Thermopylae,EXT,DAY,3,NINA ORTIZ|GUIDE,California,VFX heavy - budget accordingly
8,THE FALLEN SPEAK,Ancient Thermopylae,EXT,DAWN,2,NINA ORTIZ|SPARTAN SOLDIER,California,Key supernatural scene
9,FORENSIC ANALYSIS LAB,University Lab,INT,DAY,1.5,NINA ORTIZ|DR. CHEN,California,Science exposition
10,THE LEAP SEQUENCE,Time Portal Location,EXT,NIGHT,4,NINA ORTIZ,New York,VFX sequence - multiple days possible
11,RESEARCH ARCHIVE,University Library,INT,DAY,1,NINA ORTIZ|DR. CHEN|ARCHIVIST,New York,
12,CONFRONTATION AT THE GATE,Ancient City Gate,EXT,DUSK,2.5,NINA ORTIZ|COMMANDER,New York,Action sequence
13,THE RETURN,Time Portal Location,EXT,DAWN,1.5,NINA ORTIZ,New York,Emotional payoff
14,DEBRIEF SCENE,University Office,INT,DAY,1,NINA ORTIZ|DR. CHEN,New York,
15,COLD OPEN - MODERN DAY,Chicago Streets,EXT,NIGHT,2,NINA ORTIZ,Illinois,Series cold open
16,NINA'S APARTMENT,Chicago Apartment,INT,DAY,1,NINA ORTIZ,Illinois,Character establishment
17,UNIVERSITY BOARD MEETING,University Boardroom,INT,DAY,1.5,NINA ORTIZ|DEAN|DR. CHEN,Illinois,Conflict setup
18,THE DISCOVERY,University Basement,INT,NIGHT,2,NINA ORTIZ|DR. CHEN,Illinois,Key plot turn
19,PHONE CALL - MYSTERIOUS CONTACT,Nina's Car,INT,NIGHT,0.5,NINA ORTIZ,Illinois,
20,AIRPORT DEPARTURE,O'Hare Airport,EXT,DAY,1,NINA ORTIZ|DR. CHEN,Illinois,Act break
